HARDWARE_TYPE,PRICE,MODEL,LENGTH,BASE_LEAD_TIMES
Stud,0.08,4-40,0.250",2 days
Stud,0.09,4-40,0.375",2 days
Stud,0.10,4-40,0.500",2 days
Stud,0.12,6-32,0.250",2 days
Stud,0.13,6-32,0.375",2 days
Stud,0.14,6-32,0.625",2 days
Stud,0.16,M3 x 0.5,0.236",2 days
Stud,0.18,M3 x 0.5,0.315",2 days
Stud,0.20,M3 x 0.5,0.393",2 days
Stud,0.22,M4 x 0.7,0.472",2 days
Stud,0.25,M5 x 0.8,0.315",2 days
Stud,0.28,10-32,0.750",3 days
Stud,0.30,1/4-20,0.375",3 days
Stud,0.32,1/4-20,0.750",3 days
