# MATERIAL DATA
MATERIAL_NAME,GRADE,DENSITY_KG_PER_M3,PRICE_PER_KG_INR,PRICE_PER_4X8_SHEET,MATERIAL_CONSTANT
Mild_Steel,A36,7850,66.0,100,2.0
Stainless_Steel,304,8000,123.75,N/A,1.2
Aluminum,6061,2700,165.0,150,1.5
Aluminum,7075,2700,300.0,N/A,1.7
Brass,C360,8500,371.25,N/A,0.8
Copper,C110,8960,429.0,N/A,0.8
